OBJECTID,SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,MUN_L,MUN_R,CFCC,SPEEDLIMIT,ONEWAY,HEIGHT,WEIGHT,WIDTH,F_ZLEV,T_ZLEV,SHIELD,HWY_NUM,NBHD_L,NBHD_R,FT_COST,TF_COST,TF_DIR,FT_DIR,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,PLACE00_L,PLACE00_R,TRACT00_L,TRACT00_R,BLOCK00_L,BLOCK00_R,MCD00_L,MCD00_R,STREET_ID,SHAPElen
6002,7298,38,54,47,61,,Stanbro,ST,,Boston,Boston,A41,20,,,,,0,0,,,Hyde Park,Hyde Park,0.159,0.159, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,3962,276.347332525168
6003,7299,56,98,63,99,,Stanbro,ST,,Boston,Boston,A41,15,,,,,0,0,,,Hyde Park,Hyde Park,0.204,0.204, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,3962,262.288730425728
6004,7300,2,4,1,9,,Standard,ST,,Boston,Boston,A41,20,,,,,0,0,,,Mattapan,Mattapan,0.09715274,0.09715274, , ,MA,MA,025,025,07000,07000,02126,02126, , ,07000,07000,3963,170.988822676991
6005,7301,34,44,27,45,,Standard,ST,,Boston,Boston,A41,20,,,,,0,0,,,Mattapan,Mattapan,0.12850221,0.12850221, , ,MA,MA,025,025,07000,07000,02126,02126, , ,07000,07000,3963,226.163893215743
6006,7302,46,52,47,51,,Standard,ST,,Boston,Boston,A41,20,,,,,0,0,,,Mattapan,Mattapan,0.069,0.069, , ,MA,MA,025,025,07000,07000,02126,02126, , ,07000,07000,3963,69.0088208997292
6007,7304,2,22,1,29,,Standish,ST,,Boston,Boston,A41,20,,,,,0,0,,,Dorchester,Dorchester,0.263,0.263, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,3964,451.269014794606
6008,7305,,,,,,Stanhope,CT,,Boston,Boston,A73,5,N,,,,0,0,,,Boston,Boston,-1,-1, , ,MA,MA, , , , ,02116,02116, , ,07000,07000,5251,72.719990493703
6009,7306,2,32,1,21,,Stanley,ST,,Boston,Boston,A41,20,,,,,0,0,,,Dorchester,Dorchester,0.224,0.224, , ,MA,MA,025,025,07000,07000,02125,02125, , ,07000,07000,3967,401.931869448766
6010,7307,34,58,23,57,,Stanley,ST,,Boston,Boston,A41,20,,,,,0,0,,,Dorchester,Dorchester,0.24,0.24, , ,MA,MA,025,025,07000,07000,02125,02125, , ,07000,07000,3967,429.656865707535
6011,7308,60,98,59,99,,Stanley,ST,,Boston,Boston,A41,15,,,,,0,0,,,Dorchester,Dorchester,0.17,0.17, , ,MA,MA,025,025,07000,07000,02125,02125, , ,07000,07000,3967,214.753198679351
6012,7310,100,118,101,117,,Spring,ST,,Boston,Boston,A31,35,,,,,0,0,,,West Roxbury,West Roxbury,0.05999336,0.05999336, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,3945,184.779564091011
6013,7311,192,200,189,199,,Spring,ST,,Boston,Boston,A31,35,,,,,0,0,,,West Roxbury,West Roxbury,0.07372393,0.07372393, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,3945,227.0696921519
6014,7312,202,212,201,209,,Spring,ST,,Boston,Boston,A31,35,,,,,0,0,,,West Roxbury,West Roxbury,0.00614099,0.00614099, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,3945,18.9142378840496
6015,7313,214,222,211,219,,Spring,ST,,Boston,Boston,A31,35,,,,,0,0,,,West Roxbury,West Roxbury,0.09136161,0.09136161, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,3945,281.393754341771
6016,7314,224,230,221,223,,Spring,ST,,Boston,Boston,A31,35,,,,,0,0,,,West Roxbury,West Roxbury,0.01896802,0.01896802, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,3945,58.4214961074918
6017,7315,232,260,225,259,,Spring,ST,,Boston,Boston,A31,35,,,,,0,0,,,West Roxbury,West Roxbury,0.09676175,0.09676175, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,3945,298.026190906941
6018,7316,2,24,1,23,,Spring Valley,RD,,Boston,Boston,A41,15,,,,,0,0,,,West Roxbury,West Roxbury,0.307,0.307, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,3949,405.686083977217
6019,7317,14,2,13,1,,Springer,ST,,Boston,Boston,A41,15,FT,,,,0,0,,,South Boston,South Boston,0.227,-1, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,3951,300.88025887824
6020,7319,1,1,2,2,,Spruce,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.07,-1, , ,MA,MA,025,025,07000,07000,02108,02108, , ,07000,07000,3957,129.712536110914
6021,7320,3,7,4,18,,Spruce,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.035,-1, , ,MA,MA,025,025,07000,07000,02108,02108, , ,07000,07000,3957,47.5176182573132
6022,7321,9,99,20,98,,Spruce,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.082,-1, , ,MA,MA,025,025,07000,07000,02108,02108, , ,07000,07000,3957,151.190912529365
6023,7325,2,4,1,5,,Stanwood,TER,,Boston,Boston,A41,15,,,,,0,0,,,Dorchester,Dorchester,0.106,0.106, , ,MA,MA,025,025,07000,07000,02121,02121, , ,07000,07000,3970,146.13389525854
6024,7326,59,21,58,22,,Starbird,AVE,,Boston,Boston,A41,20,,,,,0,0,,,Roslindale,Roslindale,0.227,0.227, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,3971,363.94771670113
6025,7327,2,2,1,1,,Stark,ST,,Boston,Boston,A41,20,,,,,0,0,,,Charlestown,Charlestown,0.126,0.126, , ,MA,MA,025,025,07000,07000,02129,02129, , ,07000,07000,3973,220.41870064789
